lon_west,lat_south,lon_east,lat_north,area_ha,forest_share,mean_treecover_pct,loss_share_2001_2019_pct,loss_years_2001_2019,recent_loss_2017_2019_pct,peak_year_loss_pct,future_loss_2020_2024_pct,label,tile
35.17764,57.91196,35.24164,57.95196,1741.07,0.8293,83.56,1.8932,6,0.1446,0.4574,0.2843,0,60N_030E
37.5056,56.93234,37.5696,56.97234,1787.95,0.4546,76.94,4.4388,8,1.1799,1.1372,1.0662,1,60N_030E
30.45687,53.87268,30.52087,53.91268,1930.8,0.4117,73.17,4.7871,11,0.5495,2.3971,0.8051,0,60N_030E
34.98328,53.23468,35.04728,53.27468,1959.87,0.9562,84.88,21.5064,17,6.5636,3.9222,5.4054,1,60N_030E
38.27058,59.23605,38.33458,59.27605,1676.84,0.5793,81.23,0.2441,1,0.0497,0.1327,0.7436,0,60N_030E
34.02957,59.74515,34.09357,59.78515,1651.9,0.7094,79.67,8.535,11,1.9255,2.0862,0.0,0,60N_030E
30.79307,57.96854,30.85707,58.00854,1738.33,0.3473,75.98,0.8054,1,0.7557,0.6657,0.5211,0,60N_030E
36.9283,55.54301,36.9923,55.58301,1853.49,0.5095,74.46,9.4154,17,1.8448,2.2352,1.9945,1,60N_030E
39.30867,52.2077,39.37267,52.2477,2006.14,0.3534,65.66,1.0758,1,0.0118,0.8388,0.1161,0,60N_030E
35.34909,58.63628,35.41309,58.67628,1706.05,0.9044,85.87,2.2126,8,0.4972,0.538,1.6647,1,60N_030E
30.98065,59.18426,31.04465,59.22426,1679.37,0.9975,88.63,4.26,7,2.3787,1.1657,3.5921,1,60N_030E
34.721,59.72488,34.785,59.76488,1652.9,0.8535,81.8,15.0332,14,2.0231,3.0322,4.4727,1,60N_030E
31.55037,57.96467,31.61437,58.00467,1738.53,0.9614,81.71,4.2881,10,1.3411,0.763,1.5589,1,60N_030E
37.95637,58.99496,38.02037,59.03496,1688.61,0.8176,79.44,1.3863,4,0.0403,0.6091,0.1303,0,60N_030E
30.37007,53.75816,30.43407,53.79816,1936.03,0.5099,73.8,15.2967,17,2.7644,2.3733,0.6064,0,60N_030E
33.58186,59.37287,33.64586,59.41287,1670.16,0.4909,69.1,0.9592,3,0.244,0.4215,0.5617,0,60N_030E
33.77437,57.60302,33.83837,57.64302,1755.9,0.789,77.8,10.9111,16,3.2308,1.8829,5.6088,1,60N_030E
35.5098,59.35267,35.5738,59.39267,1671.15,0.762,79.56,12.9471,10,6.8375,3.1023,5.6198,1,60N_030E
35.22469,53.63881,35.28869,53.67881,1941.48,0.4948,78.24,0.5639,1,0.0024,0.2346,0.3388,0,60N_030E
32.74802,57.71865,32.81202,57.75865,1750.36,0.9606,86.0,5.0795,8,2.0557,1.461,1.5462,1,60N_030E
32.03804,55.97325,32.10204,56.01325,1833.32,0.9515,76.65,7.3545,12,1.1844,1.3454,1.6227,1,60N_030E
